#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises;hash_produit
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;SGN;SGN;St Lambert;STL;Blanc;blanc;;;;1B212L17;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L17;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/SGN/lieux/STL/couleurs/blanc/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Coteaux du Layon;COL;Villages;VIL;;;Blanc;blanc;Chenin;CHE;;1B212L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B212L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/COL/mentions/VIL/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Quarts de Chaume;QDC;;;;;Blanc;blanc;Chenin;CHE;;1B214L;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B214L;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/QDC/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Rosé d'Anjou;RAJ;;;;;Rosé;rose;;;;1S200D;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S200D;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/RAJ/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Rosé de Loire;RLO;;;;;Rosé;rose;;;;1S209S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S209S;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/RLO/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Saumur;SAU;;;;;Blanc;blanc;Chenin;CHE;;1B206;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1B206;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAU/mentions/DEFAUT/lieux/DEFAUT/couleurs/blanc/cepages/CHE
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Saumur;SAU;;;;;Rosé;rose;;;;1S206;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1S206;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAU/mentions/DEFAUT/lieux/DEFAUT/couleurs/rose/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Saumur;SAU;;;;;Rouge;rouge;;;;1R206S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R206S;;;%g% %a% %l% %co% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAU/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Saumur;SAU;;;Puy-Notre-Dame;PND;Rouge;rouge;;;;1R189S;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R189S;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAU/mentions/DEFAUT/lieux/PND/couleurs/rouge/cepages/DEFAUT
declaration;AOP;AOC_INTERLOIRE;;TRANQ;Saumur Champigny;SAUCHA;;;;;Rouge;rouge;;;;1R208;Vins Tranquilles;3.92;;;2.5;;;;;;;;;;;;;1R208;;;%g% %a% %l% %m%;certification;;/declaration/certifications/AOC_INTERLOIRE/genres/TRANQ/appellations/SAUCHA/mentions/DEFAUT/lieux/DEFAUT/couleurs/rouge/cepages/DEFAUT
